Name,Year,Sex,Team,NOC,City,Sport,Event,Medal
Wang Kuang-shih,1992,M,Chinese Taipei,TPE,Barcelona,Baseball,Baseball Men's Baseball,Silver
Wang Lei,2004,M,China,CHN,Athina,Fencing,"Fencing Men's epee, Individual",Silver
Wang Lihong,1996,F,China,CHN,Atlanta,Softball,Softball Women's Softball,Silver
Wang Lina,1996,F,China,CHN,Atlanta,Volleyball,Volleyball Women's Volleyball,Silver
Wang Linwei,1984,F,China,CHN,Los Angeles,Handball,Handball Women's Handball,Bronze
Wang Liping,1996,F,China,CHN,Atlanta,Football,Football Women's Football,Silver
Wang Liqin,2000,M,China-2,CHN,Sydney,Table Tennis,Table Tennis Men's Doubles,Gold
Wang Mingjuan,2012,F,China,CHN,London,Weightlifting,Weightlifting Women's Flyweight,Gold
Wang Mingxing,1984,F,China,CHN,Los Angeles,Handball,Handball Women's Handball,Bronze
Wang Na,2008,F,China,CHN,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
Wang Nan,2000,F,China,CHN,Sydney,Table Tennis,Table Tennis Women's Singles,Gold
Wang Nan,2000,F,China-1,CHN,Sydney,Table Tennis,Table Tennis Women's Doubles,Gold
Wang Shun,2016,M,China,CHN,Rio de Janeiro,Swimming,Swimming Men's 200 metres Individual Medley,Bronze
Wang Tao,1992,M,China-1,CHN,Barcelona,Table Tennis,Table Tennis Men's Doubles,Gold
Wang Xianbo,1996,F,China,CHN,Atlanta,Judo,Judo Women's Middleweight,Bronze
Wang Xiaohong,1992,F,China,CHN,Barcelona,Swimming,Swimming Women's 200 metres Butterfly,Silver
Wang Xiaozhu,1992,F,China,CHN,Barcelona,Archery,Archery Women's Team,Silver
Wang Xu,2004,F,China,CHN,Athina,Wrestling,"Wrestling Women's Heavyweight, Freestyle",Gold
Wang Yajun,1988,F,China,CHN,Seoul,Volleyball,Volleyball Women's Volleyball,Bronze
Wang Yan,1996,F,China,CHN,Atlanta,Athletics,Athletics Women's 10 kilometres Walk,Bronze
Wang Yi,1996,F,China,CHN,Atlanta,Volleyball,Volleyball Women's Volleyball,Silver
Wang Yifu,1984,M,China,CHN,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",Bronze
Wang Yihan,2012,F,China,CHN,London,Badminton,Badminton Women's Singles,Silver
Wang Yimei,2008,F,China,CHN,Beijing,Volleyball,Volleyball Women's Volleyball,Bronze
Wang Ying,1996,F,China,CHN,Atlanta,Softball,Softball Women's Softball,Silver
Wang Zhen,2012,M,China,CHN,London,Athletics,Athletics Men's 20 kilometres Walk,Bronze
Wang Zheng,2004,M,China,CHN,Athina,Shooting,Shooting Men's Double Trap,Bronze
Wang Zhiwei,2012,M,China,CHN,London,Shooting,"Shooting Men's Free Pistol, 50 metres",Bronze
Wang Ziling,1996,F,China,CHN,Atlanta,Volleyball,Volleyball Women's Volleyball,Silver
Warren Birmingham,1992,M,Australia,AUS,Barcelona,Hockey,Hockey Men's Hockey,Silver
Warren Cawley,1964,M,United States,USA,Tokyo,Athletics,Athletics Men's 400 metres Hurdles,Gold
Warren Cole,1968,M,New Zealand,NZL,Mexico City,Rowing,Rowing Men's Coxed Fours,Gold
Warren Morris,1996,M,United States,USA,Atlanta,Baseball,Baseball Men's Baseball,Bronze
Warren Potent,2008,M,Australia,AUS,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze
Warren Weir,2012,M,Jamaica,JAM,London,Athletics,Athletics Men's 200 metres,Bronze
Washington Medina,1964,M,Uruguay,URU,Tokyo,Boxing,Boxing Men's Bantamweight,Bronze
Wasim Feroz,1992,M,Pakistan,PAK,Barcelona,Hockey,Hockey Men's Hockey,Bronze
Wataru Tanigawa,2020,M,Japan,JPN,Tokyo,Artistic Gymnastics,Men's Team,Silver
Wayde Niekerk,2016,M,South Africa,RSA,Rio de Janeiro,Athletics,Athletics Men's 400 metres,Gold
Wayman Tisdale,1984,M,United States,USA,Los Angeles,Basketball,Basketball Men's Basketball,Gold
Wayne Collett,1972,M,United States,USA,Munich,Athletics,Athletics Men's 400 metres,Silver
Wayne Ferreira,1992,M,South Africa,RSA,Barcelona,Tennis,Tennis Men's Doubles,Silver
Wayne Frye,1952,M,United States,USA,Helsinki,Rowing,Rowing Men's Coxed Eights,Gold
Wayne Hammond,1976,M,Australia,AUS,Montreal,Hockey,Hockey Men's Hockey,Silver
Wayne Mccarney,1988,M,Australia,AUS,Seoul,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
Wayne Mccullough,1992,M,Ireland,IRL,Barcelona,Boxing,Boxing Men's Bantamweight,Silver
Wayne Moore,1952,M,United States,USA,Helsinki,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Wayne Ough,2004,M,Australia,AUS,Athina,Baseball,Baseball Men's Baseball,Silver
Wayne Pinnock,2024,M,Jamaica,JAM,Paris,Athletics,Men's Long Jump,Silver
Wayne Roycroft,1968,M,Australia,AUS,Mexico City,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
Wayne Wells,1972,M,United States,USA,Munich,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
Weeraphon Wichuma,2024,M,Thailand,THA,Paris,Weightlifting,Men's 73kg,Silver
Wei Haiying,1996,F,China,CHN,Atlanta,Football,Football Women's Football,Silver
Wei Ning,2004,F,China,CHN,Athina,Shooting,Shooting Women's Skeet,Silver
Wei Pang,2020,M,China,CHN,Tokyo,Shooting,10m Air Pistol Men,Bronze
Wei Pang,2020,M,China,CHN,Tokyo,Shooting,10m Air Pistol Mixed Team,Gold
Wei Qiang,1996,F,China,CHN,Atlanta,Softball,Softball Women's Softball,Silver
Wei Qiuyue,2008,F,China,CHN,Beijing,Volleyball,Volleyball Women's Volleyball,Bronze
Wei Sun,2020,M,China,CHN,Tokyo,Artistic Gymnastics,Men's Team,Bronze
Wei Yang,2020,M,Chinese Taipei,TPE,Tokyo,Judo,Men -60 kg,Silver
Wei Yili,2008,F,China-2,CHN,Beijing,Badminton,Badminton Women's Doubles,Bronze
Wei Zheng,2020,M,China,CHN,Tokyo,Badminton,Mixed Doubles Team,Silver
Weide Su,2024,M,China,CHN,Paris,Artistic Gymnastics,Men's Team,Silver
Welissa Gonzaga,2008,F,Brazil,BRA,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
Wen Dan,2024,F,China,CHN,Paris,Hockey,Women,Silver
Wen Lirong,1996,F,China,CHN,Atlanta,Football,Football Women's Football,Silver
Wen-huei Chen,2020,F,Chinese Taipei,TPE,Tokyo,Weightlifting,Women's 64kg,Bronze
Wendell Mottley,1964,M,Trinidad and Tobago,TTO,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Wendell Mottley,1964,M,Trinidad and Tobago,TTO,Tokyo,Athletics,Athletics Men's 400 metres,Silver
Wendy (-champion),1988,F,United States,USA,Seoul,Diving,Diving Women's Platform,Bronze
Wendy (-martin),1992,F,United States,USA,Barcelona,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Wendy (mcclean-),2008,F,Great Britain,GBR,Beijing,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Silver
Wendy (smith-),1984,F,Great Britain,GBR,Los Angeles,Athletics,"Athletics Women's 3,000 metres",Silver
Wendy -weil),1976,F,United States,USA,Montreal,Swimming,Swimming Women's 800 metres Freestyle,Bronze
Wendy Boglioli,1976,F,United States,USA,Montreal,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
Wendy Boglioli,1976,F,United States,USA,Montreal,Swimming,Swimming Women's 100 metres Butterfly,Bronze
Wendy Boglioli,1976,F,United States,USA,Montreal,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Wendy Cook-hogg,1976,F,Canada,CAN,Montreal,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Wendy Fraser,1992,F,Great Britain,GBR,Barcelona,Hockey,Hockey Women's Hockey,Bronze
Wendy Schaeffer,1996,F,Australia,AUS,Atlanta,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
Wendy Turnbull,1988,F,Australia,AUS,Seoul,Tennis,Tennis Women's Doubles,Bronze
Wenlu Yang,2024,F,China,CHN,Paris,Boxing,Women's 60kg,Silver
Wentao Cheng,2024,F,China,CHN,Paris,Artistic Swimming,Team,Gold
Wenwen Li,2020,F,China,CHN,Tokyo,Weightlifting,Women's +87kg,Gold
Wenyan Sun,2020,F,China,CHN,Tokyo,Artistic Swimming,Team,Silver
Wenyan Sun,2020,F,China,CHN,Tokyo,Artistic Swimming,Duet Team,Silver
Wenyu Xu,2024,F,China,CHN,Paris,Hockey,Women,Silver
Werner Delmes,1956,M,Germany,GER,Melbourne,Hockey,Hockey Men's Hockey,Bronze
Werner Gnthr,1988,M,Switzerland,SUI,Seoul,Athletics,Athletics Men's Shot Put,Bronze
Werner Kaessmann,1972,M,West Germany,FRG,Munich,Hockey,Hockey Men's Hockey,Gold
Werner Klatt,1976,M,East Germany,GDR,Montreal,Rowing,Rowing Men's Coxed Eights,Gold
Werner Kok,2016,M,South Africa,RSA,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
Werner Lampe,1972,M,West Germany,FRG,Munich,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Werner Lampe,1972,M,West Germany,FRG,Munich,Swimming,Swimming Men's 200 metres Freestyle,Bronze
Werner Lika,1980,M,Czechoslovakia,TCH,Moskva,Football,Football Men's Football,Gold
Werner Lippoldt,1972,M,East Germany,GDR,Munich,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Bronze
Werner Lueg,1952,M,Germany,GER,Helsinki,Athletics,"Athletics Men's 1,500 metres",Bronze
Werner Obschernikat,1984,M,West Germany,FRG,Los Angeles,Water Polo,Water Polo Men's Water Polo,Bronze
Werner Otto,1972,M,East Germany,GDR,Munich,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Silver
Werner Peter,1980,M,East Germany,GDR,Moskva,Football,Football Men's Football,Silver
Werner Potzernheim,1952,M,Germany,GER,Helsinki,Cycling,Cycling Men's Sprint,Bronze
Werner Rosenbaum,1956,M,Germany,GER,Melbourne,Hockey,Hockey Men's Hockey,Bronze
Werner Seibold,1976,M,West Germany,FRG,Montreal,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Bronze
Werner Stckl,1972,M,Romania,ROU,Munich,Handball,Handball Men's Handball,Bronze
Werner Unger,1964,M,Germany,GER,Tokyo,Football,Football Men's Football,Bronze
Westley Gough,2008,M,New Zealand,NZL,Beijing,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
Whitney (-luther),1996,F,United States,USA,Atlanta,Swimming,Swimming Women's 100 metres Backstroke,Silver
Whitney (-luther),1996,F,United States,USA,Atlanta,Swimming,Swimming Women's 200 metres Backstroke,Silver
Whitney (-luther),1996,F,United States,USA,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
Wieger Mensonides,1960,M,Netherlands,NED,Roma,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
Wieke Dijkstra,2008,F,Netherlands,NED,Beijing,Hockey,Hockey Women's Hockey,Gold
Wieland Schmidt,1980,M,East Germany,GDR,Moskva,Handball,Handball Men's Handball,Gold
Wiesaw Gawlikowski,1976,M,Poland,POL,Montreal,Shooting,Shooting Mixed Skeet,Bronze
Wiesaw Gawowski,1976,M,Poland,POL,Montreal,Volleyball,Volleyball Men's Volleyball,Gold
Wiesaw Hartman,1980,M,Poland,POL,Moskva,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
Wiesaw Maniak,1964,M,Poland,POL,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Wiesaw Rudkowski,1972,M,Poland,POL,Munich,Boxing,Boxing Men's Light-Middleweight,Silver
Wietse Alten,2000,M,Netherlands,NED,Sydney,Archery,Archery Men's Individual,Bronze
Wietske Ruiter,1996,F,Netherlands,NED,Atlanta,Hockey,Hockey Women's Hockey,Bronze
Wijan Ponlid,2000,M,Thailand,THA,Sydney,Boxing,Boxing Men's Flyweight,Gold
Wilber Amita,1992,M,Cuba,CUB,Barcelona,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Bronze
Wilbert Mcclure,1960,M,United States,USA,Roma,Boxing,Boxing Men's Light-Middleweight,Gold
Wilbur Davenport,1968,M,United States,USA,Mexico City,Athletics,Athletics Men's 110 metres Hurdles,Gold
Wilfred Bungei,2008,M,Kenya,KEN,Beijing,Athletics,Athletics Men's 800 metres,Gold
Wilfredo Esmite,1952,M,Uruguay,URU,Helsinki,Basketball,Basketball Men's Basketball,Bronze
Wilfredo Leon,2024,M,Poland,POL,Paris,Volleyball,Men,Silver
Wilfrid Forgues,1992,M,France-1,FRA,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
Wilfrid White,1952,M,Great Britain,GBR,Helsinki,Equestrianism,"Equestrianism Men's Jumping, Team",Gold
Wilfried Dietrich,1956,M,Germany,GER,Melbourne,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
Wilfried Grbner,1976,M,East Germany,GDR,Montreal,Football,Football Men's Football,Gold
Wilfried Hartung,1972,M,East Germany,GDR,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Wilfried Lorenz,1964,M,Mutafo,GER,Tokyo,Sailing,Sailing Mixed Three Person Keelboat,Silver
Wilfried Soltau,1952,M,Germany,GER,Helsinki,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres",Bronze
Wilfried Soltau,1952,M,Germany,GER,Helsinki,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
Wilhelm Baues,1972,M,West Germany-1,FRG,Munich,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
Wilhelm Bsing,1952,M,Germany,GER,Helsinki,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Silver
Wilhelm Bsing,1952,M,Germany,GER,Helsinki,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Bronze
Wilhelm Fuggerer,1964,M,Germany,GER,Tokyo,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze
Wilhelm Kuhweide,1964,M,Germany,GER,Tokyo,Sailing,Sailing Mixed One Person Dinghy,Gold
Wilhelm Melliger,1996,M,Switzerland,SUI,Atlanta,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
Wilhelmina (-rijke),1964,F,Netherlands,NED,Tokyo,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Wilhelmina Donners,1996,F,Netherlands,NED,Atlanta,Hockey,Hockey Women's Hockey,Bronze
Will Crothers,2012,M,Canada,CAN,London,Rowing,Rowing Men's Coxed Eights,Silver
Will Ryan,2020,M,Australia,AUS,Tokyo,Sailing,Men's Two Person Dinghy - 470 Team,Gold
Willem Croon,2024,M,Netherlands,NED,Paris,Hockey,Men,Gold
Willem Ruska,1972,M,Netherlands,NED,Munich,Judo,Judo Men's Open Class,Gold
Willem Ruska,1972,M,Netherlands,NED,Munich,Judo,Judo Men's Heavyweight,Gold
Willemien (-cornelisse),1984,F,Netherlands,NED,Los Angeles,Rowing,Rowing Women's Coxed Eights,Bronze
Willemien Aardenburg,1988,F,Netherlands,NED,Seoul,Hockey,Hockey Women's Hockey,Bronze
Willemijn Bos,2016,F,Netherlands,NED,Rio de Janeiro,Hockey,Hockey Women's Hockey,Silver
Willemijn Duyster,1996,F,Netherlands,NED,Atlanta,Hockey,Hockey Women's Hockey,Bronze
Willemina Rijn,2000,F,Netherlands,NED,Sydney,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
Willi Holdorf,1964,M,Germany,GER,Tokyo,Athletics,Athletics Men's Decathlon,Gold
Willi Padge,1960,M,Germany,GER,Roma,Rowing,Rowing Men's Coxed Eights,Gold
William Accambray,2012,M,France,FRA,London,Handball,Handball Men's Handball,Gold
William Allen,1972,M,United States,USA,Munich,Sailing,Sailing Mixed Three Person Keelboat,Gold
William Andre,1956,M,United States,USA,Melbourne,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
William Arjona,2016,M,Brazil,BRA,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
William Ayache,1984,M,France,FRA,Los Angeles,Football,Football Men's Football,Gold
William Barry,1964,M,Great Britain,GBR,Tokyo,Rowing,Rowing Men's Coxless Fours,Silver
William Baylis,1988,M,United States,USA,Seoul,Sailing,Sailing Mixed Three Person Keelboat,Silver
William Becklean,1956,M,United States,USA,Melbourne,Rowing,Rowing Men's Coxed Eights,Gold
William Bentsen,1964,M,Widgeon,USA,Tokyo,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
William Bradley,1964,M,United States,USA,Tokyo,Basketball,Basketball Men's Basketball,Gold
William Buchan,1984,M,United States,USA,Los Angeles,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
William Buckner,1976,M,United States,USA,Montreal,Basketball,Basketball Men's Basketball,Gold
William Burden,1988,M,United States,USA,Seoul,Rowing,Rowing Men's Coxed Eights,Bronze
William Burton,1960,M,Australia,AUS,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
William Carlucci,1996,M,United States,USA,Atlanta,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
William Claye,2012,M,United States,USA,London,Athletics,Athletics Men's Long Jump,Bronze
William Claye,2012,M,United States,USA,London,Athletics,Athletics Men's Triple Jump,Silver
William Craig,1964,M,United States,USA,Tokyo,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
William Crothers,1964,M,Canada,CAN,Tokyo,Athletics,Athletics Men's 800 metres,Silver
William Darnton,1960,M,United States,USA,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
William Dellinger,1964,M,United States,USA,Tokyo,Athletics,"Athletics Men's 5,000 metres",Bronze
William Dewit,1984,M,Canada,CAN,Los Angeles,Boxing,Boxing Men's Heavyweight,Silver
William Dodd,2024,M,United States,USA,Paris,Water Polo,Men,Bronze
William Evans,1956,M,United States,USA,Melbourne,Basketball,Basketball Men's Basketball,Gold
William Fields,1952,M,United States,USA,Helsinki,Rowing,Rowing Men's Coxed Eights,Gold
William Fisher,1960,M,Great Britain,GBR,Roma,Boxing,Boxing Men's Light-Middleweight,Bronze
William Fowler,2008,M,United States,USA,Beijing,Baseball,Baseball Men's Baseball,Bronze
William Fox-pitt,2004,M,Great Britain,GBR,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
William Furtado,2016,M,Brazil,BRA,Rio de Janeiro,Football,Football Men's Football,Gold
William Hobbs,1972,M,United States,USA,Munich,Rowing,Rowing Men's Coxed Eights,Silver
William Holmes,1956,M,Great Britain,GBR,Melbourne,Cycling,"Cycling Men's Road Race, Team",Silver
William Hougland,1952,M,United States,USA,Helsinki,Basketball,Basketball Men's Basketball,Gold
William Jenner,1976,M,United States,USA,Montreal,Athletics,Athletics Men's Decathlon,Gold
William Johnson,1968,M,United States,USA,Mexico City,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
William Johnson,1968,M,United States,USA,Mexico City,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
William Kennedy,1972,M,Canada,CAN,Munich,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
William Kirby,2000,M,Australia,AUS,Sydney,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
William Knecht,1964,M,United States,USA,Tokyo,Rowing,Rowing Men's Coxed Eights,Gold
William Koch,1996,M,United States,USA,Atlanta,Baseball,Baseball Men's Baseball,Bronze
William Lienhard,1952,M,United States,USA,Helsinki,Basketball,Basketball Men's Basketball,Gold
William Lockwood,2012,M,Australia,AUS,London,Rowing,Rowing Men's Coxless Fours,Silver
William Maher,1968,M,United States,USA,Mexico City,Rowing,Rowing Men's Double Sculls,Bronze
William Mahony,1972,M,Canada,CAN,Munich,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
William May,1960,M,United States,USA,Roma,Athletics,Athletics Men's 110 metres Hurdles,Silver
William Mcconnell,1984,M,Great Britain,GBR,Los Angeles,Hockey,Hockey Men's Hockey,Bronze
William Mckerlich,1956,M,Canada,CAN,Melbourne,Rowing,Rowing Men's Coxed Eights,Silver
William Mcmillan,1960,M,United States,USA,Roma,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
William Meyers,1960,M,South Africa,RSA,Roma,Boxing,Boxing Men's Featherweight,Bronze
William Meynard,2016,M,France,FRA,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
William Mills,1964,M,United States,USA,Tokyo,Athletics,"Athletics Men's 10,000 metres",Gold
William Mulliken,1960,M,United States,USA,Roma,Swimming,Swimming Men's 200 metres Breaststroke,Gold
William Nieder,1956,M,United States,USA,Melbourne,Athletics,Athletics Men's Shot Put,Silver
William Northam,1964,M,Barrenjoey,AUS,Tokyo,Sailing,Sailing Mixed 5.5 metres,Gold
William Parkin,1976,M,New Zealand,NZL,Montreal,Hockey,Hockey Men's Hockey,Gold
William Parks,1960,M,Shrew II,USA,Roma,Sailing,Sailing Mixed Two Person Keelboat,Bronze
William Priddy,2008,M,United States,USA,Beijing,Volleyball,Volleyball Men's Volleyball,Gold
William Ratleff,1972,M,United States,USA,Munich,Basketball,Basketball Men's Basketball,Silver
William Russell,1956,M,United States,USA,Melbourne,Basketball,Basketball Men's Basketball,Gold
William Ryan,2016,M,Australia,AUS,Rio de Janeiro,Sailing,Sailing Men's Two Person Dinghy,Silver
William Satch,2012,M,Great Britain,GBR,London,Rowing,Rowing Men's Coxless Pairs,Bronze
William Scherr,1988,M,United States,USA,Seoul,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
William Schmidt,1972,M,United States,USA,Munich,Athletics,Athletics Men's Javelin Throw,Bronze
William Shaner,2020,M,United States,USA,Tokyo,Shooting,10m Air Rifle Men,Gold
William Silva,1984,M,Brazil,BRA,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
William Simpson,2008,M,United States,USA,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
William Sr.,1984,M,United States,USA,Los Angeles,Sailing,Sailing Mixed Two Person Keelboat,Gold
William Steinkraus,1952,M,United States,USA,Helsinki,Equestrianism,"Equestrianism Men's Jumping, Team",Bronze
William Stowe,1964,M,United States,USA,Tokyo,Rowing,Rowing Men's Coxed Eights,Gold
William Tanui,1992,M,Kenya,KEN,Barcelona,Athletics,Athletics Men's 800 metres,Gold
William Toomey,1968,M,United States,USA,Mexico City,Athletics,Athletics Men's Decathlon,Gold
William Troost-ekong,2016,M,Nigeria,NGR,Rio de Janeiro,Football,Football Men's Football,Bronze
William Warbrick,2020,M,New Zealand,NZL,Tokyo,Rugby Sevens,Men Team,Silver
William Woolsey,1952,M,United States,USA,Helsinki,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
William Yang,2024,M,Australia,AUS,Paris,Swimming,Men's 4 x 100m Freestyle Relay,Silver
Willian Lima,2024,M,Brazil,BRA,Paris,Judo,Men -66 kg,Silver
Willian Lima,2024,M,Brazil,BRA,Paris,Judo,Mixed Team,Bronze
Willie Iii,1984,M,United States,USA,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Willie Toweel,1952,M,South Africa,RSA,Helsinki,Boxing,Boxing Men's Flyweight,Bronze
Willy Berghen,1960,M,Belgium,BEL,Roma,Cycling,"Cycling Men's Road Race, Individual",Bronze
Willy Fitting,1952,M,Switzerland,SUI,Helsinki,Fencing,"Fencing Men's epee, Team",Bronze
Willye White,1956,F,United States,USA,Melbourne,Athletics,Athletics Women's Long Jump,Silver
Wilma -eldridge),1956,F,United States,USA,Melbourne,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
Wilmer Hosket,1968,M,United States,USA,Mexico City,Basketball,Basketball Men's Basketball,Gold
Wilson Kipketer,2000,M,Denmark,DEN,Sydney,Athletics,Athletics Men's 800 metres,Silver
Wilson Kipketer,2000,M,Kenya,KEN,Sydney,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver
Wilson Kiprotich,2012,M,Kenya,KEN,London,Athletics,Athletics Men's Marathon,Bronze
Wilson Kiprugut,1964,M,Kenya,KEN,Tokyo,Athletics,Athletics Men's 800 metres,Bronze
Wilson Oruma,1996,M,Nigeria,NGR,Atlanta,Football,Football Men's Football,Gold
Wiltrud (-haverkamp),1960,F,Germany,GER,Roma,Swimming,Swimming Women's 200 metres Breaststroke,Silver
Win Korhonen,1956,M,Finland,FIN,Melbourne,Modern Pentathlon,Modern Pentathlon Men's Team,Bronze
Win Korhonen,1956,M,Finland,FIN,Melbourne,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
Winarni Slamet,2000,F,Indonesia,INA,Sydney,Weightlifting,Weightlifting Women's Featherweight,Bronze
Wincatherine Ndereba,2004,F,Kenya,KEN,Athina,Athletics,Athletics Women's Marathon,Silver
Winfred Yavi,2024,F,Bahrain,BRN,Paris,Athletics,Women's 3000m Steeplechase,Gold
Winner Djankeu,2024,F,EOR,EOR,Paris,Boxing,Women's 75kg,Bronze
Winthrop Graham,1988,M,Jamaica,JAM,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Wiradech Kothny,2000,M,Germany,GER,Sydney,Fencing,"Fencing Men's Sabre, Individual",Bronze
Wiradech Kothny,2000,M,Germany,GER,Sydney,Fencing,"Fencing Men's Sabre, Team",Bronze
Witold Woyda,1964,M,Poland,POL,Tokyo,Fencing,"Fencing Men's Foil, Team",Silver
Wizard Phil,2024,M,Canada,CAN,Paris,Breaking,B-Boys,Gold
Wladimir Reznitschenko,1988,M,Soviet Union,URS,Seoul,Fencing,"Fencing Men's epee, Team",Bronze
Wladimiro Calarese,1960,M,Italy,ITA,Roma,Fencing,"Fencing Men's Sabre, Team",Bronze
Wladimiro Calarese,1960,M,Italy,ITA,Roma,Fencing,"Fencing Men's Sabre, Individual",Bronze
Wlamir Marques,1960,M,Brazil,BRA,Roma,Basketball,Basketball Men's Basketball,Bronze
Wlter Carmona,1984,M,Brazil,BRA,Los Angeles,Judo,Judo Men's Middleweight,Bronze
Wodzimierz Lubaski,1972,M,Poland,POL,Munich,Football,Football Men's Football,Gold
Wodzimierz Sadalski,1976,M,Poland,POL,Montreal,Volleyball,Volleyball Men's Volleyball,Gold
Wodzimierz Stefaski,1976,M,Poland,POL,Montreal,Volleyball,Volleyball Men's Volleyball,Gold
Wodzimierz Zawadzki,1996,M,Poland,POL,Atlanta,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold
Wodzimierz Zieliski,1976,M,Poland,POL,Montreal,Handball,Handball Men's Handball,Bronze
Wojciech Bartnik,1992,M,Poland,POL,Barcelona,Boxing,Boxing Men's Light-Heavyweight,Bronze
Wojciech Jankowski,1992,M,Poland,POL,Barcelona,Rowing,Rowing Men's Coxed Fours,Bronze
Wojciech Kowalczyk,1992,M,Poland,POL,Barcelona,Football,Football Men's Football,Silver
Wojciech Kurpiewski,1992,M,Poland,POL,Barcelona,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
Wojciech Nowicki,2016,M,Poland,POL,Rio de Janeiro,Athletics,Athletics Men's Hammer Throw,Bronze
Wojciech Rudy,1976,M,Poland,POL,Montreal,Football,Football Men's Football,Silver
Wojciech Zabocki,1956,M,Poland,POL,Melbourne,Fencing,"Fencing Men's Sabre, Team",Silver
Wolf-Rdiger Netz,1980,M,East Germany,GDR,Moskva,Football,Football Men's Football,Silver
Wolfgang Barthels,1964,M,Germany,GER,Tokyo,Football,Football Men's Football,Bronze
